t=2026-01-20T17:00:45+0530 lvl=info msg="open config file" path=C:\\Users\\shres\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-01-20T17:00:45+0530 lvl=info msg="open config file" path=D:\\ai-resume\\resume-matcher-main\\ngrok-tunnels.yml err=nil
t=2026-01-20T17:00:45+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-01-20T17:00:45+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-01-20T17:00:45+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-01-20T17:00:45+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-01-20T17:04:34+0530 lvl=info msg="join connections" obj=join id=3a8dfc0dede7 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51893
t=2026-01-20T17:04:39+0530 lvl=info msg="join connections" obj=join id=d67cf0906645 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51893
t=2026-01-20T17:05:10+0530 lvl=info msg="join connections" obj=join id=e6e5d5682d84 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51893
t=2026-01-20T17:05:16+0530 lvl=info msg="join connections" obj=join id=8dadd94780ad l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51893
t=2026-01-20T17:05:38+0530 lvl=info msg="join connections" obj=join id=c685ab74824f l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51893
t=2026-01-20T17:05:43+0530 lvl=info msg="join connections" obj=join id=7eb8eee29d9f l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51893
t=2026-01-20T17:06:02+0530 lvl=info msg="join connections" obj=join id=ad147b5b4bf9 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51893
t=2026-01-20T17:06:02+0530 lvl=info msg="join connections" obj=join id=7658504eaeaf l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51893
t=2026-01-20T17:06:02+0530 lvl=info msg="join connections" obj=join id=38bb9f48d976 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51893
t=2026-01-20T17:06:02+0530 lvl=info msg="join connections" obj=join id=2184db556f25 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51893
